epoch,train_total_loss,train_recon_loss,train_kl_loss,val_total_loss,val_recon_loss,val_kl_loss
1,577629.7861328125,577622.494140625,729.5830237865448,116218.5859375,116202.419921875,1616.2252807617188
2,479084.8525390625,478947.36376953125,13748.084289550781,94735.62109375,94695.8203125,3980.3907470703125
3,403924.5998535156,403709.50439453125,21509.53012084961,89366.185546875,89332.625,3355.998291015625
4,370716.33203125,370521.76416015625,19457.075637817383,83542.5546875,83496.677734375,4587.73486328125
5,345023.18896484375,344814.2255859375,20896.041900634766,80081.41015625,80040.54296875,4086.605712890625
6,324604.8083496094,324385.8771972656,21893.317474365234,79507.8125,79464.828125,4298.3468017578125
7,314340.8361816406,314111.25634765625,22957.520050048828,78392.6328125,78340.5390625,5209.373291015625
8,299585.62060546875,299328.5556640625,25705.948028564453,77410.91015625,77361.908203125,4900.3839111328125
9,288744.18212890625,288475.21728515625,26895.96630859375,76533.892578125,76475.9140625,5797.9429931640625
10,277007.2404785156,276699.3181152344,30791.947052001953,75090.58984375,75031.310546875,5927.929443359375
11,264018.8298339844,263704.0441894531,31478.487548828125,73895.138671875,73829.80859375,6533.195556640625
12,246594.69458007812,246234.64770507812,36004.77200317383,71841.216796875,71769.66015625,7155.84814453125
13,232999.13989257812,232614.62451171875,38451.179748535156,71179.54296875,71099.9609375,7958.085693359375
14,221210.05883789062,220785.03247070312,42502.42492675781,70454.294921875,70374.4775390625,7981.57421875
15,211843.57250976562,211405.87561035156,43769.92395019531,69667.650390625,69582.361328125,8528.896240234375
16,202395.84020996094,201927.60864257812,46822.7174987793,69514.0341796875,69426.3935546875,8764.178466796875
17,193170.658203125,192679.1767578125,49148.383361816406,69295.8603515625,69200.916015625,9494.42041015625
18,187620.42834472656,187103.115234375,51731.27868652344,69699.4287109375,69602.115234375,9731.191650390625
19,181233.63146972656,180698.5372314453,53509.3505859375,67943.384765625,67846.251953125,9713.21728515625
20,171677.6671142578,171113.30004882812,56436.62057495117,68310.6787109375,68206.701171875,10397.652587890625
21,165090.3858642578,164507.00317382812,58338.116638183594,67846.5283203125,67736.1484375,11038.02099609375
22,160722.70251464844,160108.63903808594,61406.19030761719,67901.8740234375,67791.2880859375,11058.466796875
23,154107.2763671875,153472.9783935547,63429.64611816406,67334.66796875,67222.3046875,11236.36572265625
24,147836.5147705078,147176.3251953125,66018.60052490234,66756.4609375,66640.8095703125,11565.290771484375
25,141600.34692382812,140923.0821533203,67726.60736083984,67131.7021484375,67010.8017578125,12090.094482421875
26,135582.52770996094,134875.64624023438,70688.35470581055,67030.54296875,66905.5390625,12500.5576171875
27,130573.22827148438,129845.53845214844,72768.76977539062,66923.064453125,66790.0302734375,13303.4638671875
28,125053.81311035156,124289.76446533203,76405.08666992188,66532.4970703125,66397.798828125,13469.8642578125
29,120195.49633789062,119409.83996582031,78565.56579589844,67328.23046875,67185.533203125,14269.79296875
30,116795.68688964844,115971.42321777344,82426.20202636719,67133.6328125,66991.9189453125,14171.2861328125
31,112219.87194824219,111394.09460449219,82577.81494140625,67772.6376953125,67621.5859375,15105.232421875
32,107428.58837890625,106555.16723632812,87342.16223144531,67139.46875,66988.5439453125,15092.3466796875
33,104592.20910644531,103701.45520019531,89075.36254882812,68226.1494140625,68068.392578125,15775.56982421875
34,102178.97692871094,101252.455078125,92652.23370361328,67653.3388671875,67496.8349609375,15650.421875
35,97422.61614990234,96496.85534667969,92576.0668334961,67446.1533203125,67283.6728515625,16248.1513671875
36,94548.72381591797,93577.47155761719,97125.19946289062,67913.48828125,67749.935546875,16355.2119140625
37,93243.73315429688,92290.35723876953,95337.64855957031,68071.5576171875,67895.107421875,17645.189453125
38,90303.58776855469,89287.82666015625,101575.98156738281,69242.3115234375,69083.5390625,15877.3740234375
39,89641.15795898438,88641.15490722656,100000.19903564453,69144.130859375,68971.3779296875,17275.478515625
40,84896.35229492188,83865.0542602539,103129.8984375,68454.6416015625,68279.291015625,17535.1962890625
41,80762.55194091797,79716.23034667969,104632.04284667969,69811.2451171875,69629.486328125,18175.9375
42,76876.8529663086,75786.41607666016,109043.75439453125,68394.2314453125,68211.1474609375,18308.24609375
43,73528.49792480469,72437.03619384766,109146.10571289062,69835.9921875,69651.263671875,18472.94970703125
44,70387.47875976562,69249.59674072266,113788.26684570312,68748.75,68562.05859375,18669.3125
45,67471.0390625,66359.88525390625,111115.41595458984,69059.3173828125,68859.9951171875,19932.12646484375
46,64313.73272705078,63138.35021972656,117538.18420410156,68737.73828125,68546.69140625,19104.5048828125
47,63705.12707519531,62552.6552734375,115247.123046875,70518.36328125,70316.337890625,20202.49072265625
48,60461.761138916016,59252.5950012207,120916.56945800781,69422.4033203125,69227.0458984375,19535.8203125
49,58760.123596191406,57567.993103027344,119213.09558105469,70248.2744140625,70044.447265625,20382.8994140625
50,56704.251708984375,55469.216064453125,123503.42639160156,70319.677734375,70116.111328125,20356.5693359375
