comparison,n_assignments,n_available_assignments,modal_quadrant,modal_quadrant_fraction,mean_quadrant_margin,median_quadrant_margin,min_quadrant_margin,mean_distance_to_origin,median_distance_to_origin,n_x_signs,n_y_signs,n_quadrants,chip_instability_fraction,filter_instability_fraction,x_sign_flips,y_sign_flips,both_axis_flips,mean_trajectory_length,max_trajectory_length,mean_net_displacement,max_net_displacement,total_boundary_crossings,chip_quadrant_paths,robustness_class,structural_confidence
BLAD/TCC,6,6,QII,0.8333333333333334,0.18919932778161974,0.19043132393481776,0.0608275395534155,0.5358100240444521,0.5689406225248771,2,1,2,0.3333333333333333,0.5,1,0,0,0.11603360427194066,0.1898268671247009,0.11603360427194066,0.1898268671247009,1,QI -> QII -> QII | QII -> QII -> QII,stable_boundary_archetype,moderate
BR/BRAD,6,6,QI,0.6666666666666666,0.5315623295471597,0.48351260219284475,0.22866371221627843,1.2012195451976218,1.2439934382953766,2,1,2,0.6666666666666666,0.5,1,0,0,0.48846610713803634,0.6767425295164908,0.48846610713803634,0.6767425295164908,1,QI -> QII -> QII | QI -> QI -> QI,single_axis_flipper,low
Brain/GBM,6,6,QIII,1,0.32041669775491,0.3265218521479139,0.15158436914276427,0.8505265920168605,0.8671655160602821,1,1,1,0,0,0,0,0,0.24408306106929567,0.27046486458594554,0.24408306106929567,0.27046486458594554,0,QIII -> QIII -> QIII,stable_boundary_archetype,moderate
Brain/MB,6,6,QIII,1,0.2342224477169857,0.23254940281313036,0.15291014177759718,0.8343386960549728,0.825625821673452,1,1,1,0,0,0,0,0,0.29564328839407084,0.3264348134624625,0.29564328839407084,0.3264348134624625,0,QIII -> QIII -> QIII,stable_boundary_archetype,moderate
COL/COADREAD,6,6,QIII,1,0.7113935532935539,0.8315353157352254,0.22483434456986195,1.4116145388486905,1.5886185931826704,1,1,1,0,0,0,0,0,0.32861076449923404,0.5610541287231472,0.32861076449923404,0.5610541287231472,0,QIII -> QIII -> QIII,stable_boundary_archetype,moderate
GC/FL,3,3,QI,1,0.12337070762096526,0.09970993992024303,0.09970993992024303,0.861175448336108,0.8403692742208346,1,1,1,0,0,0,0,0,0.08803358494239266,0.08803358494239266,0.08803358494239266,0.08803358494239266,0,QI -> QI -> QI,stable_boundary_archetype,moderate
GC/LBCL,3,3,QI,1,0.29708171229258157,0.22921517841107286,0.22921517841107286,1.0857267961896915,1.1105590546615984,1,1,1,0,0,0,0,0,0.25014142410761414,0.25014142410761414,0.25014142410761414,0.25014142410761414,0,QI -> QI -> QI,stable_boundary_archetype,moderate
KID/RCC,6,6,QIII,1,1.0251313260669754,1.188022453461135,0.1807245213699452,1.8496441963775478,2.0176671165200735,1,1,1,0,0,0,0,0,0.8087037828377626,1.1472442573379114,0.8087037828377626,1.1472442573379114,0,QIII -> QIII -> QIII,stable_core_archetype,high
LU/LUAD,5,5,QI,1,0.3180747873380436,0.24574434763604897,0.07861937112031274,0.7358473606295467,0.688279660598798,1,1,1,0,0,0,0,0,0.6127654949573671,1.2255309899147342,0.6127654949573671,1.2255309899147342,0,QI -> QI | QI -> QI -> QI,stable_boundary_archetype,moderate
OV/OVAD,6,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,NA,0,NA -> NA -> NA,unavailable_structural_signal,unavailable_or_weak
PA/PAAD,6,6,QIII,1,0.5991305805571756,0.6343135555655789,0.418239892729635,2.134710198432877,2.1512810691950914,1,1,1,0,0,0,0,0,0.5364118129774162,0.55400530726659,0.5364118129774162,0.55400530726659,0,QIII -> QIII -> QIII,stable_boundary_archetype,moderate
PB/B-ALL,6,6,QI,1,0.9804344775804094,1.0614225773880124,0.7260384663085213,1.625695707892404,1.5507777792465431,1,1,1,0,0,0,0,0,0.532117484646864,0.6796848924860925,0.532117484646864,0.6796848924860925,0,QI -> QI -> QI,stable_core_archetype,high
PB/T-ALL,6,6,QI,1,0.7179050899686107,0.667095045122275,0.5231399215225983,1.1047628094410573,1.062065280962392,1,1,1,0,0,0,0,0,0.19353730354870896,0.24921123073472734,0.19353730354870896,0.24921123073472734,0,QI -> QI -> QI,stable_boundary_archetype,moderate
PR/PRAD,4,4,QIII,0.5,0.41443820514562285,0.41443820514562285,0.2995685478927467,0.9607499076577184,0.9607499076577184,2,1,2,1,0,1,0,0,0,0,0,0,0,QIV -> QIV | QIII -> QIII,single_axis_flipper,low
UT/EAC,6,6,QI,1,0.5752878858325017,0.5548237644059861,0.28108154217417974,1.0988850187117443,1.0712078090130581,1,1,1,0,0,0,0,0,0.6381134867083987,0.8702019506501572,0.6381134867083987,0.8702019506501572,0,QI -> QI -> QI,stable_boundary_archetype,moderate
